id, name, lat, lng
163, Девяткино, 60.050182,30.443045
164, Гражданский проспект, 60.034969,30.418224
165, Академическая, 60.012806,30.396044
166, Политехническая, 60.008942,30.370907
167, Площадь Мужества, 59.999828,30.366159
168, Лесная, 59.984947,30.344259
169, Выборгская, 59.971649,30.348478
170, Площадь Ленина, 59.957260,30.355383
171, Чернышевская, 59.944530,30.359919
172, Площадь Восстания, 59.930279,30.361069
173, Владимирская, 59.927628,30.347898
174, Пушкинская, 59.920650,30.329599
175, Балтийская, 59.907211,30.299578
176, Нарвская, 59.901218,30.274908
177, Кировский завод, 59.879688,30.261921
178, Автово, 59.867325,30.261337
179, Ленинский проспект, 59.851170,30.268274
180, Проспект Ветеранов, 59.841835,30.251949
181, Парнас, 60.066990,30.333839
182, Проспект Просвещения, 60.051456,30.332544
183, Озерки, 60.037098,30.321495
184, Удельная, 60.016697,30.315607
185, Пионерская, 60.002487,30.296759
186, Чёрная речка, 59.985455,30.300833
187, Петроградская, 59.966389,30.311293
188, Горьковская, 59.956112,30.318890
189, Невский проспект, 59.935051,30.329725
190, Сенная площадь, 59.927135,30.320316
191, Технологический институт, 59.916512,30.318485
192, Фрунзенская, 59.906273,30.317450
193, Московские ворота, 59.891788,30.317873
194, Электросила, 59.879189,30.318659
195, Парк Победы, 59.866344,30.321802
196, Московская, 59.851341,30.321548
197, Звёздная, 59.833241,30.349428
198, Купчино, 59.829781,30.375702
199, Приморская, 59.948521,30.234470
200, Василеостровская, 59.942577,30.278254
201, Гостиный двор, 59.933933,30.333410
202, Маяковская, 59.931366,30.354645
204, Елизаровская, 59.896690,30.423656
205, Ломоносовская, 59.877342,30.441715
206, Пролетарская, 59.865215,30.470264
207, Обухово, 59.848709,30.457743
208, Рыбацкое, 59.830986,30.501259
209, Спасская, 59.927135,30.320316
210, Достоевская, 59.928234,30.346029
211, Лиговский проспект, 59.920811,30.355055
213, Новочеркасская, 59.929092,30.411915
214, Ладожская, 59.932430,30.439274
215, Проспект Большевиков, 59.919838,30.466757
216, Улица Дыбенко, 59.907417,30.483311
217, Комендантский проспект, 60.008591,30.258663
218, Старая Деревня, 59.989433,30.255163
219, Крестовский остров, 59.971821,30.259436
220, Чкаловская, 59.961033,30.292006
221, Спортивная, 59.952026,30.291338
222, Садовая, 59.926739,30.317753
223, Звенигородская, 59.920650,30.329599
224, Волковская, 59.896023,30.357540
225, Трубная, 55.767445,37.622059
203, Площадь Александра Невского-1, 59.923613, 30.383415
212, Площадь Александра Невского-2, 59.923613, 30.383415